iter	Passed	Remaining
0	1	1320
1	2	1250
2	3	1205
3	5	1272
4	6	1250
5	7	1229
6	9	1313
7	12	1585
8	16	1822
9	19	1958
10	21	1952
11	25	2086
12	28	2193
13	30	2179
14	35	2307
15	37	2306
16	42	2465
17	44	2436
18	50	2582
19	53	2627
20	55	2585
21	58	2620
22	62	2638
23	64	2628
24	67	2619
25	71	2669
26	73	2635
27	76	2653
28	79	2668
29	82	2682
30	84	2651
31	89	2699
32	92	2703
33	94	2695
34	97	2694
35	100	2691
36	103	2682
37	106	2707
38	108	2679
39	112	2692
40	115	2696
41	118	2703
42	121	2710
43	125	2720
44	128	2720
45	131	2731
46	135	2749
47	137	2731
48	140	2733
49	144	2743
50	148	2757
51	151	2766
52	154	2755
53	156	2747
54	160	2756
55	163	2761
56	166	2750
57	169	2746
58	171	2740
59	174	2741
60	178	2741
61	180	2725
62	184	2741
63	186	2726
64	190	2739
65	193	2737
66	198	2766
67	201	2755
68	204	2758
69	208	2766
70	211	2766
71	213	2757
72	216	2752
73	220	2761
74	222	2747
75	227	2765
76	230	2757
77	232	2752
78	236	2754
79	240	2762
80	242	2746
81	245	2748
82	249	2761
83	253	2762
84	255	2747
85	258	2749
86	261	2746
87	264	2745
88	268	2752
89	272	2752
90	274	2746
91	278	2750
92	282	2754
93	285	2748
94	288	2745
95	290	2736
96	293	2731
97	296	2730
98	299	2730
99	303	2728
100	306	2729
101	309	2722
102	312	2719
103	315	2718
104	318	2711
105	321	2709
106	324	2711
107	328	2713
108	331	2708
109	334	2708
110	337	2701
111	340	2697
112	343	2697
113	345	2686
114	349	2690
115	353	2691
116	356	2687
117	359	2690
118	362	2686
119	366	2688
120	368	2679
121	372	2678
122	375	2677
123	380	2685
124	382	2680
125	386	2678
126	389	2679
127	392	2673
128	396	2677
129	399	2676
130	402	2671
131	405	2665
132	409	2669
133	411	2661
134	415	2659
135	418	2657
136	421	2654
137	425	2659
138	429	2660
139	433	2661
140	435	2650
141	438	2650
142	442	2652
143	444	2643
144	448	2642
145	451	2639
146	454	2636
147	457	2633
148	460	2631
149	463	2627
150	467	2626
151	469	2619
152	472	2616
153	475	2613
154	478	2610
155	482	2608
156	485	2604
157	488	2601
158	491	2598
159	494	2594
160	497	2591
161	500	2588
162	503	2583
163	506	2579
164	509	2579
165	513	2581
166	515	2571
167	521	2581
168	524	2577
169	528	2580
170	535	2595
171	541	2606
172	545	2609
173	548	2606
174	554	2612
175	559	2618
176	564	2625
177	569	2630
178	576	2642
179	578	2636
180	581	2632
181	585	2629
182	586	2620
183	590	2619
184	592	2610
185	595	2608
186	599	2605
187	602	2600
188	606	2604
189	608	2595
190	612	2592
191	615	2588
192	617	2583
193	621	2580
194	623	2571
195	626	2568
196	629	2565
197	632	2562
198	635	2559
199	639	2556
200	642	2552
201	644	2546
202	648	2544
203	651	2541
204	654	2539
205	657	2533
206	659	2527
207	663	2527
208	665	2520
209	669	2517
210	672	2513
211	675	2509
212	677	2504
213	682	2507
214	685	2504
215	688	2497
216	691	2496
217	704	2527
218	706	2520
219	711	2522
220	716	2525
221	721	2528
222	728	2537
223	730	2530
224	733	2527
225	739	2532
226	743	2531
227	746	2527
228	749	2524
229	751	2516
230	755	2513
231	757	2508
232	762	2508
233	763	2500
234	769	2504
235	772	2500
236	774	2494
237	777	2489
238	781	2487
239	784	2485
240	786	2476
241	789	2473
242	792	2468
243	795	2465
244	799	2464
245	813	2492
246	822	2508
247	826	2506
248	836	2521
249	839	2517
250	841	2511
251	857	2544
252	859	2538
253	863	2534
254	866	2530
255	872	2536
256	879	2544
257	883	2541
258	885	2534
259	889	2532
260	892	2527
261	895	2523
262	898	2518
263	901	2514
264	905	2510
265	907	2505
266	911	2503
267	919	2512
268	923	2509
269	929	2512
270	930	2504
271	934	2500
272	937	2496
273	939	2489
274	945	2492
275	948	2486
276	951	2484
277	953	2476
278	967	2499
279	969	2493
280	973	2490
281	976	2487
282	983	2491
283	985	2484
284	1000	2510
285	1004	2508
286	1007	2503
287	1011	2499
288	1014	2495
289	1017	2490
290	1020	2486
291	1023	2482
292	1025	2475
293	1028	2470
294	1031	2465
295	1034	2461
296	1037	2456
297	1041	2452
298	1043	2447
299	1047	2443
300	1049	2437
301	1052	2432
302	1055	2428
303	1058	2424
304	1061	2419
305	1065	2415
306	1067	2410
307	1071	2408
308	1074	2401
309	1077	2397
310	1080	2392
311	1092	2409
312	1097	2409
313	1104	2412
314	1107	2408
315	1110	2404
316	1115	2402
317	1120	2402
318	1125	2401
319	1126	2394
320	1130	2390
321	1134	2388
322	1140	2390
323	1149	2397
324	1161	2411
325	1164	2407
326	1167	2402
327	1170	2398
328	1173	2394
329	1177	2389
330	1180	2385
331	1190	2394
332	1192	2388
333	1197	2387
334	1199	2380
335	1202	2376
336	1207	2375
337	1210	2370
338	1214	2368
339	1217	2363
340	1222	2363
341	1228	2362
342	1233	2361
343	1237	2360
344	1239	2353
345	1245	2354
346	1247	2347
347	1252	2346
348	1257	2344
349	1260	2340
350	1264	2338
351	1269	2336
352	1277	2340
353	1278	2332
354	1279	2325
355	1281	2317
356	1282	2310
357	1284	2302
358	1285	2295
359	1287	2288
360	1288	2281
361	1290	2274
362	1292	2267
363	1293	2259
364	1294	2252
365	1296	2244
366	1297	2238
367	1299	2231
368	1300	2223
369	1302	2217
370	1303	2210
371	1305	2204
372	1306	2196
373	1308	2190
374	1309	2183
375	1311	2176
376	1312	2169
377	1313	2161
378	1315	2155
379	1316	2148
380	1318	2141
381	1319	2134
382	1320	2127
383	1322	2121
384	1324	2114
385	1325	2108
386	1327	2102
387	1328	2095
388	1329	2088
389	1331	2082
390	1332	2075
391	1334	2069
392	1335	2062
393	1336	2056
394	1338	2049
395	1339	2043
396	1340	2036
397	1342	2030
398	1345	2026
399	1347	2020
400	1348	2014
401	1350	2008
402	1351	2002
403	1353	1996
404	1354	1990
405	1356	1984
406	1357	1978
407	1359	1971
408	1360	1966
409	1362	1960
410	1363	1953
411	1364	1947
412	1365	1941
413	1367	1935
414	1369	1930
415	1370	1924
416	1371	1918
417	1373	1912
418	1375	1906
419	1376	1901
420	1380	1898
421	1381	1892
422	1385	1889
423	1388	1886
424	1391	1882
425	1394	1878
426	1397	1874
427	1400	1871
428	1402	1866
429	1405	1863
430	1409	1860
431	1412	1856
432	1415	1853
433	1419	1851
434	1422	1847
435	1426	1845
436	1429	1841
437	1432	1837
438	1436	1835
439	1439	1832
440	1442	1828
441	1445	1824
442	1448	1821
443	1451	1818
444	1454	1814
445	1456	1809
446	1459	1806
447	1462	1802
448	1466	1799
449	1469	1795
450	1472	1792
451	1476	1789
452	1479	1786
453	1482	1782
454	1487	1781
455	1489	1776
456	1492	1773
457	1495	1769
458	1499	1767
459	1502	1763
460	1505	1760
461	1508	1756
462	1510	1751
463	1513	1748
464	1517	1746
465	1521	1743
466	1524	1739
467	1527	1736
468	1529	1731
469	1532	1728
470	1536	1725
471	1540	1723
472	1542	1719
473	1546	1715
474	1549	1712
475	1551	1707
476	1556	1706
477	1560	1704
478	1564	1701
479	1566	1697
480	1569	1693
481	1571	1689
482	1574	1684
483	1577	1681
484	1580	1678
485	1583	1674
486	1585	1670
487	1589	1667
488	1592	1664
489	1596	1661
490	1598	1657
491	1602	1654
492	1605	1650
493	1607	1646
494	1611	1643
495	1614	1640
496	1617	1637
497	1620	1633
498	1623	1630
499	1626	1626
500	1629	1623
501	1633	1620
502	1636	1616
503	1639	1613
504	1642	1609
505	1645	1606
506	1648	1603
507	1652	1600
508	1654	1596
509	1657	1592
510	1661	1589
511	1663	1585
512	1667	1582
513	1670	1579
514	1673	1576
515	1676	1572
516	1679	1569
517	1683	1566
518	1686	1562
519	1689	1559
520	1693	1556
521	1697	1554
522	1700	1550
523	1703	1547
524	1706	1543
525	1709	1540
